CountryCode,question_label,target_group,employment,answer,percentage
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Often,16
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Rarely,27
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Never,44
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Dont know,0
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Always,38
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Often,14
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Rarely,28
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Never,21
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Always,35
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Often,12
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Rarely,23
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual men,In paid work,Never,30
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,7
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,12
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,48
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,32
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,16
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,28
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,36
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,19
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,30
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,39
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,21
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,11
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,32
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,21
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,12
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,35
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,11
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,17
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,21
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,50
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,8
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,23
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,39
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,31
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,6
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,19
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,41
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,30
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,4
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,6
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,16
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,42
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,35
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,19
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,27
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,21
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,33
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,7
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,24
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,38
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,31
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,3
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,20
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,38
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,39
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,17
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,27
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,32
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,22
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,2
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,24
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,18
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,31
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,27
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,16
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,24
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,29
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,30
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,18
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,20
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,38
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,25
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,14
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,19
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,39
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,28
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,13
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,19
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,32
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,37
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,NA
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,NA
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,30
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,29
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,18
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,23
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,8
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,35
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,14
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,43
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,9
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,18
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,40
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,33
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,15
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,27
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,35
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,23
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,4
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,18
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,32
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,46
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,23
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,20
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,44
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,13
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,6
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,19
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,42
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,32
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,1
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,NA
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,NA
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,NA
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,NA
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,NA
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,26
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,19
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,28
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,25
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,2
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,9
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,28
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,30
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,32
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,1
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,12
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,23
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,35
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,29
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Dont know,0
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,NA
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,NA
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,NA
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,NA
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Always,35
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Often,23
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Rarely,15
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Trans people,In paid work,Never,27
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,17
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,28
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,18
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,37
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,26
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,27
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,21
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,25
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,10
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,16
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,19
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,55
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,23
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,30
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,15
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,32
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,12
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,18
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,27
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,43
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,3
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,23
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,29
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,45
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,27
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,27
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,15
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,32
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,25
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,6
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,18
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,51
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,39
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,18
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,17
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,26
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,34
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,20
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,13
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,33
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,6
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,21
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,33
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,40
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,19
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,22
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,21
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,37
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Always,52
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Often,13
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Rarely,17
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Intersex people,In paid work,Never,18
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,4
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,11
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,58
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,27
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,3
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,30
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,22
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,46
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,5
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,51
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,31
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,12
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,14
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,28
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,32
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,26
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,5
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,17
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,57
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,21
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Always,10
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Often,26
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Rarely,41
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,"In unpaid, voluntary work",Never,24
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,"In unpaid, voluntary work",Always,6
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,"In unpaid, voluntary work",Often,21
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,"In unpaid, voluntary work",Rarely,34
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,"In unpaid, voluntary work",Never,36
